06/04/2016 15:17 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 7 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 17 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 18 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 32 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 10 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 14 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 21 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 22 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 29 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 24 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 25 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 30 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:12 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 31 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 2 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 8 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 13 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 19 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 4 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 7 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 17 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 18 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 32 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 10 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 14 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 21 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 22 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 29 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 24 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 25 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 30 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 31 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 2 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 8 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 13 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 19 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 4 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 7 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 17 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 18 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 32 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 10 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 14 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 21 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 22 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 29 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 24 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 25 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 30 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 31 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 2 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 8 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 13 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 19 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 4 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 7 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 17 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 18 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 32 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 10 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 14 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 21 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 22 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 29 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 24 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 25 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 30 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
13/04/2016 19:13 - RONALDOGOMES | USUARIOS_ID = 11594 | MENU_ID = 31 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:34 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:34 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:34 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:34 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:44 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/04/2016 15:45 - RONALDOGOMES | USUARIOS_ID = 10935 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = f | ALTERAR = f | EXCLUIR = f
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 11:06 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:47 - RONALDOGOMES | USUARIOS_ID = 11086 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:47 - RONALDOGOMES | USUARIOS_ID = 11086 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:47 - RONALDOGOMES | USUARIOS_ID = 11086 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:47 - RONALDOGOMES | USUARIOS_ID = 11086 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:47 - RONALDOGOMES | USUARIOS_ID = 11086 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:47 - RONALDOGOMES | USUARIOS_ID = 11086 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:48 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:48 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:48 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/04/2016 15:48 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
